title,runtime,parental_guide,genre,directors,stars,writers,person_id,gross_us_canada,film_id
The Shawshank Redemption,2h 22m,R,['Drama'],['Frank Darabont'],"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']","['Stephen King', 'Frank Darabont']","{'directors': ['0001104'], 'stars': ['0000209', '0000151', '0348409'], 'writers': ['0000175', '0001104']}","$28,767,189",0111161
The Godfather,2h 55m,R,"['Crime', 'Drama']",['Francis Ford Coppola'],"['Marlon Brando', 'Al Pacino', 'James Caan']","['Mario Puzo', 'Francis Ford Coppola']","{'directors': ['0000338'], 'stars': ['0000008', '0000199', '0001001'], 'writers': ['0701374', '0000338']}","$136,381,073",0068646
The Dark Knight,2h 32m,PG-13,"['Action', 'Crime', 'Drama']",['Christopher Nolan'],"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']","['Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer']","{'directors': ['0634240'], 'stars': ['0000288', '0005132', '0001173'], 'writers': ['0634300', '0634240', '0275286']}","$534,987,076",0468569
The Godfather Part II,3h 22m,R,"['Crime', 'Drama']",['Francis Ford Coppola'],"['Al Pacino', 'Robert De Niro', 'Robert Duvall']","['Francis Ford Coppola', 'Mario Puzo']","{'directors': ['0000338'], 'stars': ['0000199', '0000134', '0000380'], 'writers': ['0000338', '0701374']}","$47,834,595",0071562
12 Angry Men,1h 36m,Approved,"['Crime', 'Drama']",['Sidney Lumet'],"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']",['Reginald Rose'],"{'directors': ['0001486'], 'stars': ['0000020', '0002011', '0000842'], 'writers': ['0741627']}",,0050083
Schindler's List,3h 15m,R,"['Biography', 'Drama', 'History']",['Steven Spielberg'],"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']","['Thomas Keneally', 'Steven Zaillian']","{'directors': ['0000229'], 'stars': ['0000553', '0000146', '0001426'], 'writers': ['0447745', '0001873']}","$96,898,818",0108052
The Lord of the Rings: The Return of the King,3h 21m,PG-13,"['Action', 'Adventure', 'Drama']",['Peter Jackson'],"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']","['J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens']","{'directors': ['0001392'], 'stars': ['0000704', '0001557', '0005212'], 'writers': ['0866058', '0909638', '0101991']}","$379,427,292",0167260
Pulp Fiction,2h 34m,R,"['Crime', 'Drama']",['Quentin Tarantino'],"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']","['Quentin Tarantino', 'Roger Avary']","{'directors': ['0000233'], 'stars': ['0000237', '0000235', '0000168'], 'writers': ['0000233', '0000812']}","$107,928,762",0110912
The Lord of the Rings: The Fellowship of the Ring,2h 58m,PG-13,"['Action', 'Adventure', 'Drama']",['Peter Jackson'],"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']","['J.R.R. Tolkien', 'Fran Walsh', 'Philippa Boyens']","{'directors': ['0001392'], 'stars': ['0000704', '0005212', '0089217'], 'writers': ['0866058', '0909638', '0101991']}","$316,115,420",0120737
"The Good, the Bad and the Ugly",2h 58m,Approved,"['Adventure', 'Western']",['Sergio Leone'],"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']","['Luciano Vincenzoni', 'Sergio Leone', 'Agenore Incrocci']","{'directors': ['0001466'], 'stars': ['0000142', '0908919', '0001812'], 'writers': ['0898812', '0001466', '0408488']}","$25,100,000",0060196
Forrest Gump,2h 22m,PG-13,"['Drama', 'Romance']",['Robert Zemeckis'],"['Tom Hanks', 'Robin Wright', 'Gary Sinise']","['Winston Groom', 'Eric Roth']","{'directors': ['0000709'], 'stars': ['0000158', '0000705', '0000641'], 'writers': ['0343165', '0744839']}","$330,455,270",0109830
Fight Club,2h 19m,R,['Drama'],['David Fincher'],"['Brad Pitt', 'Edward Norton', 'Meat Loaf']","['Chuck Palahniuk', 'Jim Uhls']","{'directors': ['0000399'], 'stars': ['0000093', '0001570', '0001533'], 'writers': ['0657333', '0880243']}","$37,030,102",0137523
